天宮紫水 : 「『ここでは今までの物語を読むことができるよ』」
ふうま時子 : 「『お得なセットをＤＭＭポイントで購入できます！』」
図書館の紫水 : 「……」
ショップの時子 : 「……」
図書館の紫水 : 「図書館の案内をするのは楽しいけど、ずっと同じ姿勢で立ってるのは、少し飽きる」
ショップの時子 : 「わかります。私なんてもう４年です。かといって、お館様のお財布を預かる身、このお役目は他の者には任せられませんし」
ショップの時子 : 「……そういえば、あなたは？どこかで会ったような気がしますが」
図書館の紫水 : 「まあいいじゃない。今日は特別な日」
ショップの時子 : 「そうだったかしら？お祭りか何かありましたか？」
図書館の紫水 : 「お祭り、のようなもの。かもしれない」
ショップの時子 : 「そう言われてみれば、何か聴こえますね。賑やかな音楽のような……」
篠原まり : 「突然ですが、対魔忍ＲＰＧ各勢力入り乱れての無差別ダンス大会を開催しまーす！！」
まり : 「皆さん準備はいいですかー！？」
参加者たち : 「はーい♪」
参加者たち : 「はーい♪」
参加者たち : 「はーい♪」
参加者たち : 「いつでもかかってきな！」
バンド＆ＤＪチーム : 「演奏も準備オッケーだ！」
観客 : 「ウォォーー！！」「陽葵ちゃーーん！！」「みんながんばってー！！」
観客？ : 「オボォ、オボォ！！」
アマノウズメ : 「やっほー！！このパーティのアドバイザー、踊りの女神・アマノウズメだよ！！」
アマノウズメ : 「ここは神パワーで作った異空間的なヤツで、ダンスを愛する心があればだれでも入れるスペッッシャルパーリー空間だから！」
アマノウズメ : 「ケンカとか暴力とか一切無効なんでヨロ！みんなマナーよく踊ってね！」
参加者たち : 「はぁーーい！！」
蛇子 : 「ねえまりちゃん、確かこれって新入生歓迎のダンスイベントだよね……？ダンス部主催の」
まり : 「の、はずだったんだけど……ダンス部の皆さんが腹痛で寝込んでしまって」
まり : 「私が代わりに主催することになったけど、うまくできるかどうか不安で、アマノウズメさんにお祈りしたら……」
蛇子 : 「なるほど、こうなっちゃったと」
まり : 「ノマドの人たちや、猫さんまで来ちゃって、アサギ先生に怒られないといいんだけど」
蛇子 : 「まあ、神様のすることだし、今はダンスを愛する仲間だし、たぶん大丈夫だよ！」
